GardenName,Address_1,Address_2,City,State,Zipcode,Phone,Latitude,Longitude,Category,Website,Day,day1open,day1close
Youth Green Community Garden,12467 W. Osborne Street,,Los Angeles,CA,91331,,34.25777331,-118.4046685,Community Garden,,,,
Eagle Rockdale Community Garden and Art Park,1003 Rockdale Avenue,,Los Angeles,CA,90041,,34.13392644,-118.1887884,Community Garden,,,,
Milagro Allegro Community Garden,111 S Ave 56,,Los Angeles,CA,90042,,34.108472,-118.193544,Community Garden,,,,
Glassell Park Community Garden,3305 Drew Street,,Los Angeles,CA,90065,,34.12005434,-118.2430059,Community Garden,,,,
Elysian Valley Community Garden,1816 W Blake Avenue,,Los Angeles,CA,90039,,34.09722483,-118.2429669,Community Garden,,,,
Fountain Community Gardens,5620 Fountain Avenue,,Los Angeles,CA,90028,,34.09474231,-118.3117822,Community Garden,,,,
Mansfield Fountain Community Garden,1259 N Mansfield Avenue,,Los Angeles,CA,90038,,34.09361321,-118.3405019,Community Garden,,,,
Rosewood Gardens,4160 Rosewood Avenue,,Los Angeles,CA,90004,,34.07572059,-118.3030171,Community Garden,,,,
Wattles Farm,1714 N Curson Avenue,,Los Angeles,CA,90046,,34.10199105,-118.3550116,Community Garden,,,,
Norman Harriton Community Garden,2037 N Sanborn Avenue,,Los Angeles,CA,90027,,34.10414197,-118.2786531,Community Garden,,,,
Manzanita Street Community Garden,1101 Manzanita Street,,Los Angeles,CA,90029,,34.09348168,-118.280907,Community Garden,,,,
Jardin Del Rio,2363 N Riverdale Avenue,,Los Angeles,CA,90031,,34.09173305,-118.234039,Community Garden,,,,
El Sereno Community Garden,5466 Huntington Drive,,Los Angeles,CA,90032,,34.09249662,-118.1616233,Community Garden,,,,
Proyecto Jardin,1718 Bridge Street,,Los Angeles,CA,90033,,34.05189521,-118.2166108,Community Garden,,,,
Salesian Boys & Girls Club Community Garden,2228 E 4th Street,,Los Angeles,CA,90033,,34.04122508,-118.2132207,Community Garden,,,,
Mothers of East LA Community Garden,1020 S Fickett Street,,Los Angeles,CA,90023,,34.03134147,-118.2153404,Community Garden,,,,
Solano Canyon Community Garden,545 Solano Avenue,,Los Angeles,CA,90012,,34.07418257,-118.2314301,Community Garden,,,,
Union Avenue/Cesar Chavez Community Garden,1136 S Union Avenue,,Los Angeles,CA,90015,,34.04670418,-118.2756836,Community Garden,,,,
Moothart Collingnon/Francis Avenue Community Garden,2909 Francis Avenue,,Los Angeles,CA,90005,,34.05684772,-118.28942,Community Garden,,,,
Yamazaki Memorial Community Garden,961 S Mariposa Avenue,,Los Angeles,CA,90006,,34.054261,-118.299262,Community Garden,,,,
Crenshaw Community Garden,1423 S Crenshaw Blvd,,Los Angeles,CA,90019,,34.04619603,-118.3276274,Community Garden,,,,
Good Earth Community Garden,5552 Boden Street,,Los Angeles,CA,90016,,34.03038873,-118.3676776,Community Garden,,,,
Erika J. Glazer Community Garden,2632 Raymond Avenue,,Los Angeles,CA,90007,,34.03170032,-118.298016,Community Garden,,,,
The Learning Garden,1300 Venice Blvd,,Los Angeles,CA,90006,,34.04290511,-118.2822205,Community Garden,,,,
Growing Great Dreams,125 E Martin Luther King Jr Boulevard,,Los Angeles,CA,90011,,34.01117719,-118.2726961,Community Garden,,,,
Vermont Square Community Garden,4712 S Vermont Avenue,,Los Angeles,CA,90037,,34.00009093,-118.2915068,Community Garden,,,,
Epworth Community Garden,1419 W 65th Street,,Los Angeles,CA,90044,,33.98062804,-118.3007416,Community Garden,,,,
Fremont Wellness Center & Community Garden,7821 S Avalon Blvd,,Los Angeles,CA,90003,,33.96816788,-118.2651973,Community Garden,,,,
Stanford Avalon Community Garden,658 E 111th Place,,Los Angeles,CA,90059,,33.93417627,-118.2637709,Community Garden,,,,
Greater Watts Community Garden,660 E 118th Place,,Los Angeles,CA,90059,,33.92644283,-118.2629993,Community Garden,,,,
